id,prediction0,logprob0,prediction1,logprob1,prediction2,logprob2
COCO_val2014_000000550471,a plate with a cut in half on it .,1.0457938910036021e-05,a plate with a cut in half on it,8.136612145732858e-06,a plate with a cut in half and half peeled .,1.7981641327302056e-06
COCO_val2014_000000549450,a man brushing his teeth with a tooth brush .,0.0100176599505183,a man brushing his teeth in a bathroom .,0.007924408015454677,a man brushing his teeth in the bathroom .,0.005761072333271134
COCO_val2014_000000000488,a baseball player swinging a bat at a ball,0.003889671986397712,a baseball player swinging a bat on a field .,0.0024090212558542383,a baseball player holding a bat on a field .,0.0023591090337133974
COCO_val2014_000000550514,a group of people standing on top of a snow covered slope .,0.006115027000022679,a group of people standing on a snow covered slope .,0.0010815159354944156,a group of people standing on top of a snow covered ski slope .,0.0010604010526446726
COCO_val2014_000000550273,a woman sitting at a table with a plate of food .,0.003262698953410651,a woman sitting at a table with a plate of food in front of her .,0.000921838792792563,a woman sitting at a table with a plate of food in front of her,0.00019794753052943345
COCO_val2014_000000549508,a group of people standing on top of a snow covered slope .,0.004666744830738867,a group of people on skis in the snow .,0.004426761789215216,a group of people riding skis on a snowy surface,0.00371741512315566
COCO_val2014_000000550073,a little boy sitting on top of a skateboard .,0.0005736401992960425,a little boy sitting on top of a piece of luggage .,0.0003601985116720664,a little boy sitting on top of a piece of luggage,8.53566045888974e-06
COCO_val2014_000000549907,an elephant standing in the water near a body of water .,0.00015102756167137855,an elephant is standing in the water near the water .,6.6105268060402e-05,an elephant is standing in the water near a body of water .,5.966164180847997e-05
COCO_val2014_000000549683,a man riding skis down a snow covered slope .,0.013778082730864033,a man riding a snowboard down a snow covered slope .,0.010266097926065544,a man riding skis on top of a snow covered slope .,0.0016913132615687105
COCO_val2014_000000000074,a dog sitting on a sidewalk next to a bike .,0.0001244179834236043,a dog sitting on a sidewalk next to a bicycle .,7.546484954819935e-05,a dog sitting on a bench next to a bike .,7.042083453349025e-05
COCO_val2014_000000549668,"a bathroom with a toilet , sink and shower .",0.0005900236771580979,"a bathroom with a toilet , sink , and shower .",0.00036428723366426483,"a bathroom with a sink , toilet , and shower .",0.00028291493442344416
COCO_val2014_000000550477,a man sitting on a bench in a field .,0.00012834861005551337,a man sitting on a bench in a field,5.148645622789389e-05,a man sitting on a bench with a backpack and backpack .,2.47525234702291e-05
COCO_val2014_000000549937,a man riding a skateboard down a street .,0.00950626238858323,a person riding a skate board on a city street,0.005157917005706549,a young man riding a skateboard down a street .,0.004807048883316292
COCO_val2014_000000550527,a bathroom with a toilet and a sink .,0.0012332599526104747,a bathroom with a toilet and a sink,0.0012121938142001555,"a bathroom with a toilet , sink , and mirror .",0.00029052476161395415
COCO_val2014_000000549738,a kite that is flying in the sky .,0.004095620315954121,a kite that is flying in the air .,0.0013606833280533901,a kite that is flying in the sky,0.00025795256817536384
COCO_val2014_000000550452,a train on a train track with trees in the background,0.0008656764262303158,a train on a train track with a sky background,0.0003961858612000244,a train on a track near a field,0.0002912333979302039
COCO_val2014_000000549936,a group of cows standing in a field .,0.001021539018949561,a group of cows are standing in a field .,0.0006350154563010599,a group of cows standing in a field,0.0004831197515979709
COCO_val2014_000000550281,a computer keyboard sitting on top of a desk .,0.003346566720381784,a computer keyboard sitting on top of a table .,0.0010368781107687648,a computer keyboard sitting on top of a wooden desk .,0.0009175985791400963
COCO_val2014_000000549713,a man holding a nintendo wii game controller .,0.01075162685406831,a young man holding a nintendo wii game controller .,0.0028927933770039487,a man holding a wii remote in his hand .,0.0013683303795901565
COCO_val2014_000000550322,a pair of scissors sitting on top of a table .,0.0005428504395158551,a pair of scissors sitting on top of a wooden table .,0.00036285668449219556,a pair of scissors sitting on top of a table,7.792916437046397e-05
COCO_val2014_000000550444,a group of young men playing a game of soccer .,0.0166858866818993,a group of young men kicking around a soccer ball .,0.011546392022894487,a group of men playing soccer on a field,0.002190577924543777
COCO_val2014_000000549882,a white plate topped with a cut in half sandwich .,0.001847608622416599,a white plate topped with a sandwich and a bowl of soup .,0.0008457819510370964,a white plate topped with a cut in half sandwich and a salad .,0.0001959601340441487
COCO_val2014_000000550055,a large jetliner sitting on top of an airport tarmac .,0.012323423531928675,a large jetliner sitting on top of an airport runway .,0.007915007016063732,a large passenger jet sitting on top of an airport tarmac .,0.00406618928638183
COCO_val2014_000000550051,a group of people sitting at tables under umbrellas .,0.0003434867096168159,a group of people sitting at a table under umbrellas .,0.00016221643501140517,a group of people sitting at a table with umbrellas .,7.494917223937741e-05
COCO_val2014_000000550521,a group of people sitting around a table .,0.00341039647941789,a group of people sitting around a table with food .,0.00039016312434386806,a group of people sitting around a table with food on it .,5.720423717494736e-05
COCO_val2014_000000000693,a little boy sitting on top of a skateboard .,0.00021960046362078683,a little boy sitting on top of a piece of luggage .,0.00014066365565835068,a little girl is sitting on a suitcase,2.0719244901333492e-05
COCO_val2014_000000549845,a man sitting in a chair using a cell phone .,0.00034728868180886307,a man is holding a cell phone in his hand .,0.00027458494820964863,a man is holding a cell phone to his ear .,0.00026413996818083123
COCO_val2014_000000549887,a white plate topped with a cut in half sandwich .,0.004118899222749721,a white plate topped with a sandwich and a salad .,0.00035973292818639534,a white plate topped with a cut in half sandwich and a salad .,7.533804076720114e-05
COCO_val2014_000000549930,a group of people walking down a street holding umbrellas .,0.001302350284395253,a group of people walking down a street with umbrellas .,0.0007680767446159487,a group of people walking down the street with umbrellas .,0.0002904931940895141
COCO_val2014_000000549932,a group of people standing around a luggage cart .,0.0007821489524749101,a group of people standing next to each other .,0.0005766993952446188,a group of people standing around a luggage carousel .,0.0004146344471804586
COCO_val2014_000000550287,a man walking a dog on a leash on a sidewalk .,6.128284177409052e-05,a woman walking a dog on a leash in front of a store .,5.526558411680898e-05,a man walking a dog on a leash in front of a store .,4.095552220293593e-05
COCO_val2014_000000549885,a pizza sitting on top of a white plate .,0.004755786583067729,a pizza sitting on top of a wooden cutting board .,0.003865259067582062,a pizza sitting on top of a white plate on a table .,0.0014053990717135458
COCO_val2014_000000549649,a cat laying on top of a pair of shoes .,0.0008716819250432007,a cat laying on the floor next to a remote control .,0.0004477669586054508,a cat laying on the floor next to a pair of shoes .,0.0002239221666118966
COCO_val2014_000000000257,a group of people standing around a food truck .,0.0035166155318635084,a group of people standing outside of a food truck .,0.0018670042312554068,a group of people standing next to a truck .,0.0005192328261076503
COCO_val2014_000000549462,a person jumping a snow board in the air,0.010830332307425767,a person on a snow board high in the air .,0.001366759266962465,a person jumping a snow board on a snowy slope,0.0005504847721102245
COCO_val2014_000000549674,a desk with a laptop and a monitor,0.00021834620871100682,a desk with a laptop and a monitor on it,0.00019169599362945365,a desk with a computer and a laptop on it .,0.00015786347844552512
COCO_val2014_000000549728,a remote control sitting on top of a wooden table .,0.003638050682517408,a remote control sitting on top of a table .,0.003398474425343737,a remote control sitting on top of a bed .,0.0020511111853926925
COCO_val2014_000000550084,a street sign on the side of a road .,0.00031655130659695945,a street sign on the side of the road .,0.00026742532055422846,a street sign on the side of the road,0.0001412068536108159
COCO_val2014_000000549954,a kitchen with a stove and a sink,0.0007470659779455901,"a kitchen with a stove , sink and refrigerator .",0.00034643839200682047,a kitchen with a stove and a sink .,0.0003450350373007967
COCO_val2014_000000550431,a man and a woman standing in front of a mirror .,0.0003669702350098944,a man and a woman standing in a room .,0.000361772575286233,a man in a suit and tie standing next to a woman .,6.266644195528137e-05
COCO_val2014_000000549766,a giraffe standing in the middle of a forest .,0.003788207132139986,a giraffe standing in the middle of a field .,0.0024802134204966013,a giraffe standing in the middle of a lush green field .,0.0007138150790925997
COCO_val2014_000000549943,a street scene with cars and trucks on the road .,2.007820027908963e-05,a street scene with cars and trucks on the street .,1.604971485864729e-05,a street scene with cars and trucks on the road,2.66924361935412e-06
COCO_val2014_000000550432,a person holding a surf board on a beach,0.00242690619088041,a person holding a surfboard on a beach .,0.0011879824052012716,a man carrying a surfboard on top of a beach .,0.0010327859466788313
COCO_val2014_000000550426,a vase filled with flowers on top of a table .,0.0026756180325201817,a vase filled with flowers sitting on top of a table .,0.0025189736963268216,a vase filled with flowers sitting on a table .,0.001554890033933973
COCO_val2014_000000549629,a large black bear walking across a lush green field .,0.006630820242471591,a large black bear walking through a lush green field .,0.004434785923285016,a large black bear walking through a forest .,0.0027716085021778987
COCO_val2014_000000550422,a herd of sheep grazing on a lush green field .,0.008834387998500982,a herd of sheep standing on top of a lush green field .,0.005161741915684998,a herd of sheep grazing on a lush green hillside .,0.004702938598574
COCO_val2014_000000550350,a nintendo wii game controller sitting on top of a table .,0.0023636199964601565,a nintendo wii game controller sitting on a table .,0.0018122486869817465,a remote control sitting on top of a table .,0.0012589894206203691
COCO_val2014_000000224477,a man riding a wave on top of a surfboard .,0.03428101694476025,a person riding a surf board on a wave,0.01864084419918808,a man riding a wave on a surfboard in the ocean .,0.004941422892154635
COCO_val2014_000000550423,a man in a suit and tie standing next to a woman .,0.0002175172186456495,a man in a suit and bow tie standing next to a woman .,7.729965174958497e-05,a man in a suit and tie standing next to a woman in a suit .,9.593380920809675e-06
COCO_val2014_000000000395,a man in a hat is talking on a cell phone .,0.0006359900111932123,a man in a hat is talking on his cell phone .,0.00028098096472930616,a man in a hat is talking on a cell phone,0.00025272671030455713
COCO_val2014_000000549560,a yellow fire hydrant sitting on the side of a road .,0.0005793681505819782,a yellow fire hydrant sitting on the side of a street .,0.00019511467524335727,a fire hydrant on the side of the road .,0.0001395156603134036
COCO_val2014_000000549789,a man flying through the air while riding a snowboard .,0.01706333594151306,a man flying through the air while riding skis .,0.010638892915152538,a person jumping a snow board in the air,0.00812604619801631
COCO_val2014_000000549763,"a kitchen with a refrigerator , stove , microwave and cabinets .",7.319785790910722e-05,"a kitchen with a refrigerator , stove , microwave and refrigerator .",6.039719090035479e-05,"a kitchen with a refrigerator , stove , microwave , and cabinets .",1.809417748984696e-05
