id,"prediction0","logprob0","prediction1","logprob1","prediction2","logprob2","prediction3","logprob3","prediction4","logprob4"
COCO_val2014_000000224477,"a man riding a wave on top of a surfboard .","0.034281","a person riding a surf board on a wave","0.018641","a man riding a surfboard on top of a wave .","0.005880","a man on a surfboard riding a wave .","0.005588","a man riding a wave on a surfboard in the ocean .","0.004941"
COCO_val2014_000000549560,"a yellow fire hydrant sitting on the side of a road .","0.000579","a fire hydrant spraying water onto a street .","0.000343","a fire hydrant spraying water onto a street","0.000244","a yellow fire hydrant sitting on the side of a street .","0.000195","a fire hydrant spraying water onto a city street .","0.000164"
COCO_val2014_000000549635,"a farmers market filled with lots of fresh produce .","0.002274","a farmers market with lots of fresh produce .","0.000462","a farmers market filled with lots of fresh fruit .","0.000337","a fruit stand with a variety of fruits and vegetables .","0.000236","a farmers market filled with lots of fresh fruits and vegetables .","0.000164"
COCO_val2014_000000549668,"a bathroom with a toilet , sink and shower .","0.000590","a bathroom with a sink , toilet and shower .","0.000521","a bathroom with a shower , sink , and toilet .","0.000510","a bathroom with a toilet , sink , and shower .","0.000364","a bathroom with a sink , toilet , and shower .","0.000283"
COCO_val2014_000000549629,"a large black bear walking across a lush green field .","0.006631","a large black bear walking through a lush green field .","0.004435","a large black bear walking through a forest .","0.002772","a large black bear walking through a lush green forest .","0.002656","a large black bear walking through a field .","0.001737"
COCO_val2014_000000549674,"a desktop computer sitting on top of a desk .","0.010288","a desktop computer sitting on top of a wooden desk .","0.005330","a desktop computer sitting on top of a computer desk .","0.000425","a desktop computer sitting on top of a table .","0.000419","a desk with a laptop and a monitor","0.000218"
COCO_val2014_000000549683,"a man riding skis down a snow covered slope .","0.013778","a man riding a snowboard down a snow covered slope .","0.010266","a man riding skis on top of a snow covered slope .","0.001691","a man riding a snowboard down the side of a snow covered slope .","0.001375","a man riding a snowboard on top of a snow covered slope .","0.000604"
COCO_val2014_000000549687,"a couple of giraffe standing next to each other .","0.008444","a couple of giraffe standing next to a tree .","0.002322","a couple of giraffe standing next to each other on a field .","0.001053","two giraffes standing next to each other in a zoo .","0.001006","two giraffe standing next to each other on a dirt field .","0.000940"
COCO_val2014_000000549649,"a close up of a cat laying on a couch","0.001357","a close up of a cat laying on a bed","0.000539","a cat laying on the floor next to a remote control .","0.000448","a close up of a cat laying down","0.000437","a close up of a cat laying on a remote control","0.000363"
COCO_val2014_000000549728,"a remote control sitting on top of a wooden table .","0.003638","a remote control sitting on top of a table .","0.003398","a remote control sitting on top of a couch .","0.002111","a remote control sitting on top of a bed .","0.002051","a remote control sitting on a table next to a remote control .","0.000745"
COCO_val2014_000000549754,"a man flying through the air while riding a snowboard .","0.046892","a person jumping a snow board in the air","0.007009","a man flying through the air while riding skis .","0.005117","a man riding a snowboard down a snow covered slope .","0.003016","a man flying through the air while riding a skateboard .","0.002437"
COCO_val2014_000000549713,"a man holding a nintendo wii game controller .","0.010752","a woman holding a nintendo wii game controller .","0.009223","a young man holding a nintendo wii game controller .","0.002893","a woman holding a wii remote in her hand .","0.001595","a man holding a wii remote in his hand .","0.001368"
COCO_val2014_000000549746,"a little boy that is sitting in a bathtub .","0.000294","a baby is sitting in a bath tub","0.000260","a baby is sitting in a bath tub .","0.000213","a little boy that is sitting in a bath tub","0.000147","a little boy that is sitting in a bath tub .","0.000096"
COCO_val2014_000000549738,"a kite that is flying in the sky .","0.004096","a kite that is flying in the air .","0.001361","a kite that is flying in the sky","0.000258","a kite flying high in the sky with a sky background","0.000099","a kite that is flying in the air","0.000098"
COCO_val2014_000000549718,"a red and white bus driving down a street .","0.001214","a yellow and blue bus driving down a street .","0.001210","a yellow bus driving down a city street .","0.000728","a yellow and blue bus driving down the street .","0.000296","a yellow bus driving down a street next to a building .","0.000276"
COCO_val2014_000000549763,"a kitchen with a white refrigerator freezer next to a stove top oven .","0.000244","a kitchen with a white refrigerator freezer next to a sink .","0.000155","a kitchen with a white refrigerator freezer next to a stove .","0.000092","a kitchen with a white refrigerator freezer next to a counter .","0.000092","a kitchen with a white refrigerator freezer next to a counter top .","0.000043"
COCO_val2014_000000549845,"a man holding a cell phone in his hand .","0.000718","a man holding a cell phone in his hands .","0.000556","a man holding a smart phone in his right hand .","0.000523","a man holding a cell phone up to his ear .","0.000440","a man is holding a cell phone in his hand .","0.000275"
COCO_val2014_000000549817,"a white toilet sitting in a bathroom next to a trash can .","0.000568","a white toilet sitting next to a trash can .","0.000486","a white toilet sitting in a bathroom next to a wall .","0.000478","a white toilet sitting in the corner of a bathroom .","0.000328","a white toilet sitting in a bathroom next to a sink .","0.000285"
COCO_val2014_000000549882,"a close up of a plate of food with a sandwich","0.002142","a close up of a plate of food on a table","0.002013","a white plate topped with a cut in half sandwich .","0.001848","a close up of a plate of food","0.000890","a white plate topped with a sandwich and a bowl of soup .","0.000846"
COCO_val2014_000000549780,"a hot dog with mustard and ketchup on a bun .","0.001433","a hot dog on a bun with ketchup and mustard .","0.001363","a hot dog on a bun with mustard and ketchup .","0.000861","a hot dog on a bun with mustard and ketchup","0.000820","a hot dog with ketchup and mustard on a bun .","0.000752"
COCO_val2014_000000549766,"a giraffe standing in the middle of a forest .","0.003788","a giraffe standing in the middle of a field .","0.002480","a giraffe standing next to a tree in a forest .","0.001330","a giraffe standing next to a tree in a field .","0.001168","a giraffe standing in the middle of a lush green field .","0.000714"
COCO_val2014_000000549789,"a man flying through the air while riding a snowboard .","0.017063","a man flying through the air while riding skis .","0.010639","a person jumping a snow board in the air","0.008126","a person on a snowboard jumping in the air .","0.001060","a man flying through the air on top of a snow board .","0.000655"
COCO_val2014_000000549797,"a woman holding a white frisbee in her hands .","0.000175","a woman holding a white frisbee in her hand .","0.000164","a woman in a blue shirt holding a white frisbee .","0.000049","a woman holding a white frisbee in her hands","0.000019","a woman in a blue shirt is holding a white frisbee","0.000016"
COCO_val2014_000000549936,"a group of cows standing in a field .","0.001022","a herd of cattle standing on top of a lush green field .","0.000825","a group of cows are standing in a field .","0.000635","a herd of cattle standing on top of a grass covered field .","0.000532","a group of cows standing in a field","0.000483"
COCO_val2014_000000549930,"a group of people walking down a street holding umbrellas .","0.001302","a group of people walking down a street with umbrellas .","0.000768","a group of people walking down a rain soaked street .","0.000553","a couple of people walking down a street holding umbrellas .","0.000458","a group of people walking down the street with umbrellas .","0.000290"
COCO_val2014_000000549887,"a white plate topped with a cut in half sandwich .","0.004119","a close up of a sandwich on a plate","0.003745","a close up of a plate of food with a sandwich","0.002804","a close up of a plate of food on a table","0.002240","a close up of a plate of food","0.001115"
COCO_val2014_000000549932,"a group of people standing around a luggage cart .","0.000782","a group of people standing next to each other .","0.000577","a group of people standing around a pile of luggage .","0.000505","a group of people standing around a luggage carousel .","0.000415","a group of people standing around a luggage cart","0.000055"
COCO_val2014_000000549907,"an elephant standing in the water near a body of water .","0.000151","an elephant standing in the water next to a body of water .","0.000072","an elephant is standing in the water near the water .","0.000066","an elephant is standing in the water near a body of water .","0.000060","an elephant standing in the water near a body of water","0.000040"
COCO_val2014_000000549885,"a pizza sitting on top of a white plate .","0.004756","a pizza sitting on top of a wooden cutting board .","0.003865","a close up of a pizza on a table","0.002265","a close up of a pizza on a pan","0.002020","a close up of a pizza on a plate","0.001596"
COCO_val2014_000000549937,"a man riding a skateboard down a street .","0.009506","a person riding a skate board on a city street","0.005158","a young man riding a skateboard down a street .","0.004807","a person riding a skate board on a street","0.003856","a man riding a skateboard down the side of a road .","0.001435"
COCO_val2014_000000550013,"a woman standing next to a dog on a leash .","0.000222","a woman standing next to a dog in a field .","0.000217","a man and a dog playing with a frisbee","0.000117","a man and a dog are playing frisbee","0.000096","a man and a dog are playing frisbee in a field .","0.000066"
COCO_val2014_000000550007,"a person riding a motorcycle on a race track","0.005551","a man riding a motorcycle on a race track .","0.003396","a man riding a motorcycle down a race track .","0.003025","a person riding a motorcycle on a race track .","0.002841","a person riding a motorcycle on a track","0.001755"
COCO_val2014_000000549971,"a person holding a hot dog in their hand .","0.002631","a person holding a hot dog on a bun .","0.002260","a person holding a hot dog in a bun .","0.002019","a person holding a hot dog on a bun","0.000666","a person holding a hot dog in a bun","0.000527"
COCO_val2014_000000549965,"a wooden bench sitting on the side of a road .","0.000838","a wooden bench sitting on top of a sidewalk .","0.000672","a wooden bench sitting next to a wooden fence .","0.000622","a wooden bench sitting on the side of a street .","0.000327","a wooden bench sitting on a sidewalk next to a street .","0.000221"
COCO_val2014_000000549954,"a kitchen with a stove and a sink","0.000747","a kitchen with a sink , stove and refrigerator .","0.000563","a kitchen with a stove , sink and refrigerator .","0.000346","a kitchen with a stove , sink , and refrigerator .","0.000150","a kitchen with a sink , stove and refrigerator","0.000043"
COCO_val2014_000000549943,"a street filled with lots of traffic next to tall buildings .","0.000169","a street filled with lots of traffic and traffic .","0.000139","a street filled with lots of traffic next to a tall building .","0.000078","a street filled with lots of traffic and lots of traffic .","0.000069","a street filled with lots of traffic next to a traffic light .","0.000043"
COCO_val2014_000000550001,"a horse that is standing in the grass .","0.010131","a brown horse standing on top of a lush green field .","0.005448","a brown horse standing on a lush green field .","0.003047","a brown horse standing on top of a grass covered field .","0.002551","a brown horse standing on top of a green field .","0.001595"
COCO_val2014_000000550055,"a large jetliner sitting on top of an airport tarmac .","0.012323","a large jetliner sitting on top of an airport runway .","0.007915","a large passenger jet sitting on top of an airport tarmac .","0.004066","a large passenger jet sitting on top of an airport runway .","0.003480","a large jetliner sitting on top of a tarmac .","0.001246"
COCO_val2014_000000550103,"a group of people flying kites in a park .","0.001742","a group of people flying kites in a field .","0.001723","a crowd of people flying kites in a park .","0.001080","a large group of people flying kites in a field .","0.000819","a large group of people flying kites in a park .","0.000683"
COCO_val2014_000000550051,"a group of people sitting at tables under umbrellas .","0.000343","a group of people sitting at tables with umbrellas .","0.000220","a group of people sitting at a table under umbrellas .","0.000162","a group of people sitting at a table with umbrellas .","0.000075","a group of people sitting at a table under a umbrella .","0.000028"
COCO_val2014_000000550084,"a street sign on the side of a road .","0.000317","a street sign on the side of the road .","0.000267","a street sign on the side of the road","0.000141","a street sign on the side of a road","0.000099","a street sign on the side of a street .","0.000074"
COCO_val2014_000000550117,"a woman sitting at a table with a plate of food .","0.002929","a man sitting at a table with a plate of food .","0.002247","a man sitting at a table with a pizza in front of him .","0.001181","a man sitting at a table with a plate of pizza .","0.001129","a woman sitting at a table with a plate of food","0.000966"
COCO_val2014_000000550073,"a little boy sitting on top of a skateboard .","0.000574","a little boy sitting on top of a piece of luggage .","0.000360","a little boy that is sitting on a toilet .","0.000317","a little boy that is sitting on a skateboard .","0.000276","a little boy that is sitting down with a skateboard .","0.000056"
COCO_val2014_000000550162,"a man holding a bunch of ripe bananas .","0.003514","a man is holding a bunch of bananas","0.002410","a man is holding a bunch of bananas .","0.002321","a man holding a bunch of green bananas .","0.002304","a man holding a bunch of bananas in his hand .","0.000961"
COCO_val2014_000000550349,"a bus that is sitting in the street .","0.000578","a group of people standing next to a bus .","0.000495","a group of people standing in front of a bus .","0.000383","a group of people waiting to get on a bus .","0.000138","a group of people waiting to get on a bus","0.000095"
COCO_val2014_000000550287,"a man walking a dog on a leash on a sidewalk .","0.000061","a woman walking a dog on a leash in front of a store .","0.000055","a man walking a dog on a leash in front of a store .","0.000041","a man walking a dog on a leash on a city street .","0.000020","a man walking a dog on a leash next to a building .","0.000016"
COCO_val2014_000000550281,"a computer keyboard sitting on top of a desk .","0.003347","a laptop computer sitting on top of a desk .","0.002015","a laptop computer sitting on top of a wooden desk .","0.001798","a computer keyboard sitting on top of a table .","0.001037","a computer keyboard sitting on top of a wooden desk .","0.000918"
COCO_val2014_000000550173,"a red and yellow train traveling down train tracks .","0.002029","a red train is coming down the tracks","0.001429","a red and white train traveling down train tracks .","0.001230","a red train traveling down train tracks next to a forest .","0.000474","a red train traveling down train tracks near a forest .","0.000396"
COCO_val2014_000000550322,"a pair of scissors sitting on top of a table .","0.000543","a pair of scissors sitting on top of a wooden table .","0.000363","a pair of scissors sitting on a table .","0.000301","a pair of scissors sitting on top of a counter .","0.000297","a pair of scissors sitting on a table","0.000114"
COCO_val2014_000000550273,"a woman sitting at a table with a plate of food .","0.003263","a woman sitting at a table with a plate of food in front of her .","0.000922","a woman sitting at a table in front of a plate of food .","0.000602","a woman sitting at a table with a plate of food","0.000500","a woman is sitting at a table with a plate of food .","0.000466"
COCO_val2014_000000550350,"a nintendo wii game controller sitting on top of a table .","0.002364","a nintendo wii game controller sitting on a table .","0.001812","a nintendo wii controller sitting on top of a table .","0.001552","a remote control sitting on top of a table .","0.001259","a nintendo wii controller sitting on a table .","0.000972"
COCO_val2014_000000550372,"a passenger train that is pulling into a station .","0.002615","a train that is sitting on the tracks .","0.001587","a train on a train track at a train station","0.001043","a passenger train that is pulling into the station .","0.000704","a train that is sitting on a train track .","0.000684"
COCO_val2014_000000550365,"a man flying through the air while riding a snowboard .","0.031660","a man riding a snowboard down a snow covered slope .","0.004617","a man riding a snowboard on top of a snow covered slope .","0.002565","a man flying through the air on top of a snow board .","0.002257","a man riding a snowboard down the side of a snow covered slope .","0.002113"
COCO_val2014_000000550403,"a large clock tower towering over a city .","0.002156","a clock tower in the middle of a city .","0.000858","a large clock tower towering over a body of water .","0.000669","a clock tower in the middle of a river .","0.000520","a large clock tower in the middle of a city .","0.000401"
COCO_val2014_000000550423,"a couple of men standing next to each other .","0.003432","two men in suits and ties standing next to each other .","0.000815","a couple of men standing next to each other in a room .","0.000357","a man in a suit and tie standing next to a woman .","0.000218","a couple of men standing next to each other in front of a window .","0.000086"
COCO_val2014_000000550422,"a herd of sheep grazing on a lush green field .","0.008834","a herd of sheep standing on top of a lush green field .","0.005162","a herd of sheep grazing on a lush green hillside .","0.004703","a herd of sheep standing on top of a grass covered field .","0.002203","a herd of sheep standing on a lush green hillside .","0.002143"
COCO_val2014_000000550400,"a chocolate cake sitting on top of a white plate .","0.003585","a chocolate cake sitting on top of a plate .","0.001025","a piece of chocolate cake on a white plate .","0.000833","a chocolate cake on a plate with a knife .","0.000639","a piece of chocolate cake on a white plate","0.000560"
COCO_val2014_000000550405,"a laptop computer sitting on top of a wooden desk .","0.016349","a laptop computer sitting on top of a wooden table .","0.014868","a laptop computer sitting on top of a table .","0.011475","a laptop computer sitting on top of a desk .","0.007947","an open laptop computer sitting on top of a wooden desk .","0.006486"
COCO_val2014_000000550431,"a couple of men standing next to each other .","0.003545","a man and a woman standing next to each other .","0.000869","a couple of men standing next to each other in a room .","0.000604","a man and a woman standing in front of a mirror .","0.000367","a couple of men standing next to each other in front of a mirror .","0.000186"
COCO_val2014_000000550452,"a train traveling down tracks next to a forest .","0.000884","a train on a train track with trees in the background","0.000866","a train traveling down train tracks near a forest .","0.000662","a train traveling down train tracks next to a forest .","0.000660","a train traveling down tracks next to a lush green field .","0.000266"
COCO_val2014_000000550444,"a group of young men playing a game of soccer .","0.016686","a group of young men kicking around a soccer ball .","0.011546","a group of young people playing a game of soccer .","0.005442","a group of people playing soccer on a field","0.002859","a group of men playing soccer on a field","0.002191"
COCO_val2014_000000550471,"a close up of a plate of food on a table","0.001064","a close up of a plate of sliced oranges","0.001041","a close up of a plate of food","0.000938","a close up of a sliced orange on a plate","0.000757","a close up of a plate of food with oranges","0.000616"
COCO_val2014_000000550432,"a person standing on a beach holding a surfboard .","0.002655","a person holding a surf board on a beach","0.002427","a person standing on a beach with a surfboard .","0.001224","a man carrying a surfboard on top of a beach .","0.001033","a person standing on a beach holding a surf board .","0.000884"
COCO_val2014_000000550426,"a vase filled with flowers on top of a table .","0.002676","a vase filled with flowers sitting on top of a table .","0.002519","a vase filled with flowers sitting on a table .","0.001555","a vase filled with purple and white flowers .","0.001084","a vase filled with lots of flowers on top of a table .","0.000668"
COCO_val2014_000000550477,"a man sitting on a bench in a park .","0.000140","a man sitting on a bench in a field .","0.000128","a man sitting on a bench in the middle of a field .","0.000056","a man sitting on a bench in a field","0.000051","a man sitting on a bench in a park","0.000048"
COCO_val2014_000000550527,"a white toilet sitting in a bathroom next to a sink .","0.001286","a bathroom with a toilet and a sink .","0.001233","a bathroom with a toilet and a sink","0.001212","a white toilet sitting in a bathroom next to a wall .","0.000814","a white toilet sitting in a bathroom next to a trash can .","0.000709"
COCO_val2014_000000550521,"a group of people sitting around a table .","0.003410","a group of people sitting around a table together .","0.001311","a group of people sitting around a table eating food .","0.000784","a group of people sitting around a table with food .","0.000390","a group of people standing around a table","0.000117"
COCO_val2014_000000550514,"a group of people standing on top of a snow covered slope .","0.006115","a group of people standing next to each other .","0.001642","a group of people standing in the snow .","0.001179","a group of people standing on a snow covered slope .","0.001082","a group of people standing on top of a snow covered ski slope .","0.001060"
